claim_id,section,disposition,how_determined,evidence,claim_text
D-001,Headline,addressed,read against the draft,"The headline now reads ""is the highest since the pandemic year"". The banned phrase ""has never been higher"" is gone.",Pittsburgh built a $1.7 billion airport terminal. What it costs airlines to fly there has never been higher.
D-003,Dek,removed,text comparison,The sentence the check failed is not in the current draft.,The gap is closed with casino and gas money the Authority decides on once a year and is under no obligation to provide.
D-004,Scene,removed,text comparison,The sentence the check failed is not in the current draft.,PITTSBURGH (AP) —
D-005,Scene,removed,text comparison,The sentence the check failed is not in the current draft.,On a morning in October ... a building that opened eight years after the board approved it
D-006,Scene,removed,text comparison,The sentence the check failed is not in the current draft.,no one from the congressional delegation that had been announcing federal checks for the project since 2021 had come out to the airfield that day to say anything unkind
D-015,Nut,removed,text comparison,The sentence the check failed is not in the current draft.,"what the airport charges the airlines works out to $16.10 for every passenger they board, the highest figure in the airport's history"
D-019,Nut,removed,text comparison,The sentence the check failed is not in the current draft.,"Every estimate the Authority gave the public before it sold the bonds came in under what followed, and the gap has widened in every year since."
D-022,Covenant,removed,text comparison,The sentence the check failed is not in the current draft.,that account holds royalties from gas wells drilled on airport land and Pennsylvania's tax on slot machines ... It designated $19.1 million of that money into the pledge 
D-030,Covenant,removed,text comparison,The sentence the check failed is not in the current draft.,"One survey of 57 United States airport bond documents put the share permitting this sort of transfer at 59 percent, naming Austin, Los Angeles and San Francisco. That sur"
D-037,What it costs,addressed,read against the draft,"The KBRA line is now a paraphrase and carries no quotation marks, which is what the check asked for absent the presale report.","KBRA, which rated the 2025 bonds A+, listed among the credit challenges that ""a rising CPE could discourage service expansion or retention, particularly for LCCs and ULCC"
D-038,What it costs,removed,text comparison,The sentence the check failed is not in the current draft.,"Spirit Airlines left Pittsburgh on May 1, 2026, and traffic fell 1.1 percent."
D-041,What it costs,addressed,read against the draft,"The citation reads ""Koopmans and Lieshout"" and prints no given name, so the Thijs-or-Carl question no longer arises in the text.","Thijs Koopmans and Rogier Lieshout, writing in the Journal of Air Transport Management in 2016"
D-049,2028,addressed,read against the draft,"The draft now says about $3.23 billion in principal and interest to 2056, which is the figure the check supplied.",The Authority borrowed about $1.66 billion across three bond sales ... and owes about $2.5 billion in principal and interest by the time the last of it matures in 2056.
D-053,The test,removed,text comparison,The sentence the check failed is not in the current draft.,"In 2025 passengers again beat the base case and the charge landed at $16.10, three cents above the slow-growth case"
D-058,The test,removed,text comparison,The sentence the check failed is not in the current draft.,the Authority publishes no cost-per-enplanement figure on its own website
D-064,The comparison,removed,text comparison,The sentence the check failed is not in the current draft.,the maintenance saving has never been demonstrated at all
D-065,The comparison,removed,text comparison,The sentence the check failed is not in the current draft.,The building the board chose was sized for 13 to 15 million passengers a year.
D-066,The comparison,removed,text comparison,The sentence the check failed is not in the current draft.,"Pittsburgh boarded 9.95 million in 2024, which is between 31 and 51 percent below that band"
D-068,The comparison,removed,text comparison,The sentence the check failed is not in the current draft.,Roughly 11 cents of every dollar that paid for it is grant money. The rest was borrowed against what the airport can earn.
D-070,The comparison,removed,text comparison,The sentence the check failed is not in the current draft.,What it spends keeping the empty building standing has not been disclosed.
D-075,Slots,removed,text comparison,The sentence the check failed is not in the current draft.,"[THE TICKET COUNTER] ... Fraport Pittsburgh, the concessions operator suing over a terminated lease that ran to 2029, and Grant Oliver, the parking contractor since 1952,"
