id,topic,claim,status,whose,evidence,note
C1,F1,"The bonds carry a covenant requiring the Authority to set rates so it holds at least 1.25 times its annual debt service.",established,The Authority's indenture,os-2025ab#32;os-2021ab#37,"A margin requirement rather than a payment requirement."
C2,F1,"The Official Statement prints a single coverage ratio, and every forecast year clears 1.25.",established,The Authority's consultant,os-2025ab#202,"1.60, 1.37, 1.36, 1.37, 1.43, 1.44. Reproduces from the table's own rows."
C3,F1,"Footnote 1 on that table reads: Includes Other Pledged Revenues.",established,The Authority's consultant,os-2025ab#202,"Read on the page in both pdftotext extraction modes. This is what makes the separation arithmetic rather than inference."
C4,F1,"On the revenue actually pledged, five of the six forecast years fall below 1.25.",computed,This publication,os-2025ab#202;os-2025ab#316,"1.35, 1.12, 1.13, 1.12, 1.18, 1.19. The document prints only the combined figure; the separation is ours and is labelled as ours wherever it appears."
C5,F1,"In 2026 and 2028 the airport's own operations do not cover its debt service at all.",computed,This publication,os-2025ab#202;os-2025ab#316,"$83.0m against $84.7m in 2026, $90.2m against $90.8m in 2028. Net Revenues less the Exhibit E designations."
C6,F1,"The Coverage Account is topped up monthly at the Authority's own discretion and capped at 25 percent of that year's debt service.",established,The Authority's indenture,os-2025ab#32;os-2021ab#37,"Ninth in the flow of funds. Nothing obliges the Authority to make the deposit."
C7,F1,"The forecast assumes the Coverage Account at exactly its contractual ceiling in five of six years.",computed,This publication,os-2025ab#202,"25.00 percent of aggregate annual debt service in every year except 2027, which is 23.23 percent."
C8,F1,"From 2025 the entire designated line is slot-machine tax revenue. Gas royalty is designated at zero in every year from 2020 through 2030.",established,The Authority's consultant,os-2025ab#316;os-2025ab#295,"Exhibit E itemises the line by component. What was designated 2020 through 2023 was federal pandemic relief; nothing at all was designated in 2024."
C9,F1,"The airlines committed that money for 2026 through 2028. The forecast carries the same figure into 2029 and 2030.",established,The Authority's consultant,os-2025ab#316,"The Airline Operating Agreements expire Dec. 31, 2028. The bonds run to 2056."
C10,F3,"No debt service entered the airline rate base in 2021, 2022, 2023 or 2024.",established,The Authority's audited report,acfr-2024#68,"Table IV. The row reads zero in all four years."
C11,F3,"Interest on the 2021 bonds was capitalized through Feb. 1, 2025 and on the 2023 bonds through April 1, 2025.",established,The Authority's bond statement,os-2025ab#39,"This is why the rate base carried no terminal debt for four years."
C12,F3,"The audited charge per boarded passenger fell to $7.34 in 2024, the lowest in the ten-year audited series.",established,The Authority's audited report,acfr-2024#68,"Reproduces as $36,444,805 of rate base costs over 4,964,361 enplanements."
C13,F3,"The Authority's consultant forecasts the charge rising every year, from $15.71 in 2025 to $20.53 in 2030.",established,The Authority's consultant,os-2025ab#202,"Reproduces as airline payments over enplanements in all six years."
C14,F3,"Four different measures are published under the name cost per enplaned passenger.",established,Multiple issuers,acfr-2024#68;os-2025ab#62;os-2025ab#202;faa-cats-127,"For 2024 the audited report gives $7.34 where the bond statement gives $11.56. No figure on this site is subtracted from a figure on another basis."
C15,F2,"The 2021 statement forecast four years under two recovery cases. Two of four fall below 1.25 in the base case and four of four in the slow case.",computed,This publication,os-2021ab#185,"Stated by case. The two cases are not added together, which would count the same calendar years twice."
C16,F2,"The Authority told the Post-Gazette $17.64 for 2026 after filing $19.13 with investors in April 2025.",attributed,The Post-Gazette and the Authority,ppg-202512220055;os-2025ab#202,"A budget adopted later can legitimately differ from a forecast made earlier. The higher figure went to the lenders. This is a question for the Authority, not a finding."
C17,F4,"Passengers arrived on forecast. The 2024 actual of 4,964,361 beat the 2021 base case of 4,924,000.",established,The Authority's audited report,acfr-2024#68,"The cost forecast is the one that missed, not the passenger forecast."
C18,F4,"Whether a rising airline charge reaches a passenger as fare or as reduced service is disputed and is not settled here.",contested,Carriers and published research,koopmans-lieshout-2016;ai-20171004,"Five claims and five studies are adjudicated in the reporting. No study in the record tests Pittsburgh."
C19,S1,"The board approved the terminal at $1.1 billion in September 2017. It opened eight years and two months later.",attributed,The Post-Gazette,ppg-201709120131,"Media is graded C in this reporting: a source of dates and statements, never of a figure computed with."
C20,S1,"Federal rules require an alternatives analysis for a master plan. The Authority has never published the one behind this decision.",established,FAA advisory circular,faa-ac-5070-6b,"Sections 901 through 907. What renovating the existing terminal would have cost has never been published."
C21,S1,"A rating agency reads the same discretionary money as a credit strength.",attributed,KBRA,kbra-20250401,"The availability of unique non-aviation revenue sources which can be applied on a discretionary basis."
