id,claim,status,why,source_id,serves
peer-rank,"Pittsburgh's charge is fifth highest of 32 medium hub airports, higher than sixteen large hubs.",held,"Eleven of the sixteen carry no dollar value in this case and the rank rests on a compiler dashboard graded C. The dashboard's actuals are federal filings and its projections are named bond-statement pages, so every peer row is verifiable, and until each is checked against its own primary the rank is not printed.",dwu-cpe,F3
capacity,The new terminal's design capacity.,held,"The only figure available for it contradicts the Post-Gazette of Sept. 12, 2017. Neither is printed until a primary settles it.",ppg-201709120131,S1
six-of-eight,"Six of eight forecast years in the 2021 statement fall below the covenant on pledged revenue alone.",withdrawn,"That total adds two scenarios covering the same four calendar years, which is a reporter sum across cases inside one vintage. What the table supports is two of four in the base case and four of four in the slow-recovery case, and that is what is published.",os-2021ab,F2
opr-84pc,Designated revenue fell 84 percent.,withdrawn,"Exhibit E at PDF 316 itemises the line by component and shows the fall is a change of composition rather than a decline: gas and gaming stopped being designated after 2019, federal pandemic relief stood in through 2023, nothing was designated in 2024, and gaming resumes at $8,170k in 2025.",os-2025ab,F1
costs-rose,The charge to airlines rose across the construction years.,withdrawn,"The Authority's own audited series shows it fell, to $7.34 in 2024. The claim was replaced by the finding that no debt service entered the rate base at all for four years because interest was capitalized, which the same documents support and which is harder to answer.",acfr-2024,F3
signatory-count,"Eleven signatory airlines at two pages against ten at a third.",held,"Searching all three pages found the phrase and no count beside it. The locators are wrong and the conflict is not carried into print until they are corrected. This is the one item in the Aug. 30 repair list that did not survive a re-check.",os-2025ab,F1
covenant-standard,1.25 is the ordinary coverage standard in the airport bond market.,held,"The piece leans on this being unremarkable and has no primary for it. A rating methodology or a bond-market reference would settle it. A dashboard will not.",dwu-ratecov,F1
soft-covenant,"59 percent of 57 airport bond documents carry a soft covenant review.",held,"The only source is a compiler that describes itself as an AI product. Named empty cell.",dwu-ratecov,F1
cpe-2026,"The Authority's cost per enplanement for 2026 is $17.64.",attributed,"There is no 2026 budget page in the vault, so this stays a lead and is attributed every time it appears. The Authority filed $19.13 for the same year with investors in April 2025. A budget adopted later can legitimately differ from a forecast made earlier. This is a question for the Authority, not a finding.",ppg-202512220055,F2
parking-revenue,Parking revenue by year.,held,"The 2025 statement prints two different figures for every year, the narrative at PDF 54 against the statements at PDF 57, disagreeing by eleven to seventeen percent in each. Neither is publishable until the scope of each is known.",os-2025ab,F3
construction-total,$832.7 million of construction cost.,attributed,"Available as a clip figure from the Post-Gazette and attributed as one. Media is tier C in this case: a clip may be an utterance and never a figure.",ppg-202512220055,S1
current-cfo,The Authority's current chief financial officer.,held,"The 2021 statement names a CFO who is still listed at the Authority on LinkedIn, and the Authority's own leadership page names no CFO at all. No current CFO is printed until a primary confirms one.",os-2025ab,S1
default,"The Authority will default, breach or violate its covenant.",never,"None of it is true and none of it is written. The indenture lets the Coverage Account count toward the 1.25 test, and on that test the forecasts comply. The published finding is what the ratio is on pledged Net Revenues alone, in those words, and the rule governs headings and image descriptions as well as sentences.",os-2025ab,F1
taxpayer-liability,Taxpayers are liable for the debt.,never,"Not assumed and not asserted. The actual chain of financial responsibility is established from the indenture rather than presumed, and where it has not been established the piece says so.",os-2025ab,F4
