id,subject,year,figure_a,locator_a,figure_b,locator_b,document,resolution,note
cpe-2023,Cost per enplaned passenger,2023,$11.34,"PDF 62 (printed 52), airline costs per enplaned passenger 2020-2024",$11.50,"PDF 170 (printed 53), rate-base table",os-2025ab,disclosed,"Two figures for one year in one statement. Neither is chosen."
cpe-2020,Cost per enplaned passenger,2020,$20.57,"PDF 62 (printed 52)",$20.50,"PDF 170 (printed 53)",os-2025ab,disclosed,"On either page the 2020 figure is higher than $16.10, which disposes of any claim that the fiscal 2025 charge is the highest in the airport's history."
cpe-2021-cross,Cost per enplaned passenger,2021,$12.35,"os-2025ab PDF 62 (printed 52)",$12.33,"ACAA 2021 annual report and 2024 report Table IV",os-2025ab / acfr-2024,disclosed,"Both are the Authority's own. The gap is two cents and it is still two published figures for one year."
cpe-2024-basis,Cost per enplaned passenger,2024,$7.34,"acfr-2024 Table IV, audited",$11.56,"os-2025ab PDF 62, management discussion",acfr-2024 / os-2025ab,disclosed,"The difference is close to the $21,775,159 of airline capital fund deposits the 2024 report carries. Three series go by this name and a fourth measure exists in the federal filing. They are never subtracted across."
opr-2023,Other Pledged Revenues,2023,"$3,029k","PDF 61 (printed 51), management discussion","$4,040k","PDF 316, Exhibit E",os-2025ab,disclosed,"A third rendering at PDF 170 gives $3,029,132 and agrees with the lower figure. The data file carries both as separate rows and chooses neither."
opr-2021,Other Pledged Revenues,2021,"$19,146k","PDF 316, Exhibit E","$18,183,300","PDF 170, rate base",os-2025ab,disclosed,"The lower figure is exactly the CARES/CRRSA/ARPA line for the airport alone, without the two smaller components."
enplanements-2024,Total enplaned passengers,2024,"4,964,361","Table IV","4,970,599","Table V",acfr-2024,disclosed,"Two counts in the same audited document, 6,238 apart."
signatory-count,Signatory airline count,2025,eleven,"PDF 70 and PDF 195 as recorded Aug. 30",ten,"PDF 121 as recorded Aug. 30",os-2025ab,not reproduced,"Searching all three pages on Aug. 31 found the phrase and no count beside it. The locators are wrong. This conflict is not carried into print until they are corrected."
parking-revenue,Parking revenue,2020-2024,narrative figure,"PDF 54",statements figure,"PDF 57",os-2025ab,unresolved,"Two figures for every year, disagreeing by eleven to seventeen percent. Neither is published until the scope of each is known."
cpe-2026-claims,Cost per enplaned passenger,2026,$19.13,"os-2025ab PDF 202 (printed B-16), filed with investors April 2025",$17.64,"told to the Post-Gazette, January 2026",os-2025ab / ppg-202512220055,attributed,"A budget adopted later can legitimately differ from a forecast made earlier. The number given to the lenders is the higher one. This is a question for the Authority."
